XY Plot 1
Distance [mm]
Mag_B [mTesla]
__cartesian__ 0 0 0.000000 170.051408 112.098362 470.876346
__settings__ 1 0 0 0 11 11 0 0 0 0
0 173.112
0.112098 173.818
0.224197 174.927
0.336295 176.491
0.448393 178.562
0.560492 181.191
0.67259 184.426
0.784689 188.316
0.896787 192.905
1.00889 196.018
1.12098 198.423
1.23308 201.566
1.34518 205.375
1.45728 209.779
1.56938 214.712
1.68148 220.109
1.79357 225.906
1.90567 231.548
2.01777 235.437
2.12987 239.645
2.24197 244.147
2.35407 248.916
2.46616 253.929
2.57826 259.165
2.69036 264.602
2.80246 270.221
2.91456 275.659
3.02666 280.973
3.13875 286.214
3.25085 291.365
3.36295 296.409
3.47505 301.333
3.58715 306.124
3.69925 310.77
3.81134 314.857
3.92344 318.324
4.03554 321.883
4.14764 325.516
4.25974 329.208
4.37184 332.943
4.48393 336.708
4.59603 340.489
4.70813 344.276
4.82023 347.78
4.93233 351.246
5.04443 354.676
5.15652 358.065
5.26862 361.41
5.38072 364.709
5.49282 367.957
5.60492 371.154
5.71702 373.809
5.82911 376.119
5.94121 378.449
6.05331 380.791
6.16541 383.141
6.27751 385.491
6.38961 387.835
6.50171 390.17
6.6138 392.477
6.7259 394.706
6.838 396.912
6.9501 399.093
7.0622 401.249
7.1743 403.377
7.28639 405.476
7.39849 407.546
7.51059 409.586
7.62269 411.145
7.73479 412.578
7.84689 414.02
7.95898 415.467
8.07108 416.915
8.18318 418.362
8.29528 419.805
8.40738 421.241
8.51948 422.655
8.63157 424.039
8.74367 425.413
8.85577 426.775
8.96787 428.126
9.07997 429.464
9.19207 430.79
9.30416 432.102
9.41626 433.399
9.52836 434.266
9.64046 435.128
9.75256 435.999
9.86466 436.876
9.97675 437.758
10.0889 438.642
10.201 439.527
10.313 440.411
10.4251 441.281
10.5372 442.14
10.6493 442.997
10.7614 443.851
10.8735 444.703
10.9856 445.551
11.0977 446.396
11.2098 447.237
11.3219 448.018
11.434 448.51
11.5461 449.013
11.6582 449.527
11.7703 450.048
11.8824 450.577
11.9945 451.112
12.1066 451.652
12.2187 452.195
12.3308 452.731
12.4429 453.267
12.555 453.806
12.6671 454.348
12.7792 454.894
12.8913 455.442
13.0034 455.992
13.1155 456.544
13.2276 456.994
13.3397 457.262
13.4518 457.543
13.5639 457.835
13.676 458.138
13.7881 458.45
13.9002 458.77
14.0123 459.098
14.1244 459.432
14.2365 459.764
14.3486 460.102
14.4607 460.447
14.5728 460.798
14.6849 461.155
14.797 461.518
14.9091 461.887
15.0212 462.262
15.1333 462.499
15.2454 462.63
15.3575 462.775
15.4696 462.932
15.5817 463.1
15.6938 463.28
15.8059 463.469
15.918 463.667
16.0301 463.872
16.1422 464.081
16.2543 464.299
16.3664 464.525
16.4785 464.76
16.5906 465.004
16.7027 465.256
16.8148 465.516
16.9269 465.785
17.039 465.883
17.151 465.932
17.2631 465.994
17.3752 466.07
17.4873 466.159
17.5994 466.259
17.7115 466.37
17.8236 466.491
17.9357 466.619
18.0478 466.754
18.1599 466.899
18.272 467.054
18.3841 467.218
18.4962 467.392
18.6083 467.576
18.7204 467.77
18.8325 467.973
18.9446 467.969
19.0567 467.965
19.1688 467.976
19.2809 468
19.393 468.037
19.5051 468.085
19.6172 468.145
19.7293 468.216
19.8414 468.295
19.9535 468.384
20.0656 468.484
20.1777 468.595
20.2898 468.716
20.4019 468.847
20.514 468.989
20.6261 469.141
20.7382 469.275
20.8503 469.226
20.9624 469.192
21.0745 469.173
21.1866 469.167
21.2987 469.174
21.4108 469.194
21.5229 469.225
21.635 469.267
21.7471 469.317
21.8592 469.378
21.9713 469.45
22.0834 469.533
22.1955 469.628
22.3076 469.733
22.4197 469.85
22.5318 469.977
22.6439 470.044
22.756 469.976
22.8681 469.922
22.9802 469.883
23.0923 469.858
23.2044 469.845
23.3165 469.845
23.4286 469.857
23.5407 469.879
23.6528 469.912
23.7649 469.957
23.877 470.013
23.989 470.08
24.1011 470.159
24.2132 470.249
24.3253 470.35
24.4374 470.463
24.5495 470.476
24.6616 470.4
24.7737 470.338
24.8858 470.292
24.9979 470.259
25.11 470.239
25.2221 470.232
25.3342 470.236
25.4463 470.252
25.5584 470.274
25.6705 470.308
25.7826 470.355
25.8947 470.414
26.0068 470.485
26.1189 470.568
26.231 470.663
26.3431 470.77
26.4552 470.748
26.5673 470.67
26.6794 470.594
26.7915 470.519
26.9036 470.443
27.0157 470.367
27.1278 470.288
27.2399 470.206
27.352 470.148
27.4641 470.164
27.5762 470.198
27.6883 470.249
27.8004 470.319
27.9125 470.409
28.0246 470.518
28.1367 470.649
28.2488 470.801
28.3609 470.792
28.473 470.765
28.5851 470.742
28.6972 470.721
28.8093 470.704
28.9214 470.689
29.0335 470.678
29.1456 470.67
29.2577 470.594
29.3698 470.471
29.4819 470.381
29.594 470.323
29.7061 470.296
29.8182 470.3
29.9303 470.332
30.0424 470.393
30.1545 470.477
30.2666 470.518
30.3787 470.547
30.4908 470.566
30.6029 470.574
30.715 470.572
30.827 470.561
30.9391 470.542
31.0512 470.515
31.1633 470.398
31.2754 470.272
31.3875 470.179
31.4996 470.117
31.6117 470.087
31.7238 470.086
31.8359 470.114
31.948 470.171
32.0601 470.239
32.1722 470.269
32.2843 470.288
32.3964 470.294
32.5085 470.29
32.6206 470.276
32.7327 470.252
32.8448 470.219
32.9569 470.177
33.069 470.026
33.1811 469.892
33.2932 469.791
33.4053 469.721
33.5174 469.682
33.6295 469.673
33.7416 469.692
33.8537 469.739
33.9658 469.785
34.0779 469.798
34.19 469.799
34.3021 469.787
34.4142 469.764
34.5263 469.73
34.6384 469.686
34.7505 469.633
34.8626 469.561
34.9747 469.381
35.0868 469.234
35.1989 469.119
35.311 469.036
35.4231 468.983
35.5352 468.96
35.6473 468.966
35.7594 468.998
35.8715 469.015
35.9836 469.004
36.0957 468.98
